epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
135,306.784,0.70332,0.3927,0.87049,0.98507,0.9994,0.99455,0.71686,1.03368,0.46031,0.99361,0.0006734,0.0006734,0.0006734
136,308.945,0.67138,0.38754,0.86304,0.96844,0.98485,0.99411,0.71737,1.0249,0.44485,1.00788,0.0006635,0.0006635,0.0006635
137,311.136,0.67664,0.3802,0.87121,0.97888,0.98485,0.99397,0.73078,1.03657,0.43281,1.00709,0.0006536,0.0006536,0.0006536
138,313.468,0.6553,0.36941,0.85962,0.98057,0.98485,0.99313,0.72375,1.04314,0.44056,1.0056,0.0006437,0.0006437,0.0006437
139,315.735,0.65158,0.37574,0.87237,0.98124,0.98485,0.99301,0.72666,1.03758,0.43838,0.99154,0.0006338,0.0006338,0.0006338
140,317.961,0.65455,0.37603,0.86439,1,0.98016,0.99443,0.71044,1.0499,0.43371,0.99704,0.0006239,0.0006239,0.0006239
141,320.161,0.6726,0.37679,0.87049,0.968,1,0.99485,0.71079,1.05145,0.45403,1.00793,0.000614,0.000614,0.000614
142,322.333,0.63988,0.36884,0.85011,0.96997,1,0.99471,0.71539,1.05327,0.45469,1.01472,0.0006041,0.0006041,0.0006041
143,324.571,0.65366,0.3732,0.87021,0.96831,1,0.99455,0.71036,1.07655,0.46791,1.03068,0.0005942,0.0005942,0.0005942
144,326.729,0.65494,0.38167,0.86542,0.96755,1,0.99412,0.7132,1.07354,0.44714,1.02868,0.0005843,0.0005843,0.0005843
145,328.931,0.65473,0.37199,0.86513,0.96967,0.96872,0.99196,0.72706,1.06427,0.45139,1.02553,0.0005744,0.0005744,0.0005744
146,331.136,0.63738,0.36528,0.86793,0.97009,0.98485,0.99178,0.70903,1.06749,0.46191,1.03118,0.0005645,0.0005645,0.0005645
147,333.316,0.67863,0.37512,0.87192,0.98392,0.9697,0.99027,0.70793,1.04081,0.43953,1.02329,0.0005546,0.0005546,0.0005546
148,335.473,0.64574,0.37788,0.85868,0.98484,0.98399,0.9901,0.71492,1.06371,0.44942,1.02,0.0005447,0.0005447,0.0005447
149,337.664,0.65185,0.37094,0.87249,0.97008,0.98269,0.98812,0.71114,1.04358,0.43721,1.01954,0.0005348,0.0005348,0.0005348
150,339.93,0.62491,0.36798,0.86252,0.98175,0.9697,0.99091,0.71685,1.03965,0.42868,1.02992,0.0005249,0.0005249,0.0005249
151,342.156,0.64889,0.37266,0.85151,0.96883,1,0.99304,0.73692,1.02083,0.4262,1.00612,0.000515,0.000515,0.000515
152,344.456,0.62535,0.3436,0.86255,0.96781,1,0.99304,0.74294,1.00399,0.42092,0.99804,0.0005051,0.0005051,0.0005051
153,346.667,0.62184,0.35105,0.85956,0.96919,1,0.99349,0.74307,1.00055,0.41747,0.99737,0.0004952,0.0004952,0.0004952
154,348.858,0.64051,0.36643,0.86709,0.96921,1,0.99412,0.7427,1.00418,0.40589,0.99232,0.0004853,0.0004853,0.0004853
155,351.077,0.6267,0.35249,0.85999,0.98498,0.99394,0.99455,0.73299,1.02859,0.40332,1.00586,0.0004754,0.0004754,0.0004754
156,353.354,0.60648,0.35029,0.84533,0.96913,1,0.9944,0.72418,1.02736,0.42046,1,0.0004655,0.0004655,0.0004655
157,355.555,0.62715,0.35706,0.84642,0.9692,1,0.99395,0.71884,1.04935,0.43664,1.01474,0.0004556,0.0004556,0.0004556
158,357.706,0.6344,0.37088,0.85551,0.97048,0.99629,0.99471,0.71953,1.06391,0.43767,1.03308,0.0004457,0.0004457,0.0004457
159,359.951,0.61952,0.35521,0.84974,0.98674,0.98485,0.99471,0.7294,1.04438,0.42922,1.02387,0.0004358,0.0004358,0.0004358
160,362.21,0.60511,0.34553,0.85957,0.98589,0.98485,0.99485,0.72746,1.047,0.42302,1.03339,0.0004259,0.0004259,0.0004259
161,364.384,0.58563,0.34552,0.84899,0.99295,1,0.995,0.72417,1.06787,0.4356,1.02943,0.000416,0.000416,0.000416
162,366.587,0.61394,0.35254,0.84922,0.98494,0.99074,0.99485,0.7272,1.033,0.42892,1.00681,0.0004061,0.0004061,0.0004061
163,368.837,0.6083,0.33865,0.85537,0.9849,0.98798,0.99485,0.72993,1.04248,0.42561,1.01585,0.0003962,0.0003962,0.0003962
164,371.124,0.59809,0.35074,0.84869,0.99147,0.98485,0.99485,0.73016,1.07325,0.42366,1.02753,0.0003863,0.0003863,0.0003863
165,373.38,0.58605,0.34956,0.86162,0.98405,1,0.99455,0.72706,1.05844,0.42276,1.02281,0.0003764,0.0003764,0.0003764
